Order ID,Ship Mode,Customer ID,Segment,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,order_year,order_month,shipping_days,City_freq,State_freq,Sales_per_Item,Discount_Impact
CA-2016-152156,Second Class,CG-12520,Consumer,South,Furniture,Bookcases,261.96,2,0.0,41.9136,2016,11,3,51,139,130.98,0.0
CA-2016-152156,Second Class,CG-12520,Consumer,South,Furniture,Chairs,731.94,3,0.0,219.582,2016,11,3,51,139,243.98000000000002,0.0
CA-2016-138688,Second Class,DV-13045,Corporate,West,Office Supplies,Labels,14.62,2,0.0,6.8714,2016,6,4,747,2001,7.31,0.0
US-2015-108966,Standard Class,SO-20335,Consumer,South,Furniture,Tables,957.5775,5,0.45,-383.031,2015,10,7,15,383,191.5155,430.909875
US-2015-108966,Standard Class,SO-20335,Consumer,South,Office Supplies,Storage,22.368,2,0.2,2.5164,2015,10,7,15,383,11.184,4.4736
CA-2014-115812,Standard Class,BH-11710,Consumer,West,Furniture,Furnishings,48.86,7,0.0,14.1694,2014,6,5,747,2001,6.9799999999999995,0.0
CA-2014-115812,Standard Class,BH-11710,Consumer,West,Office Supplies,Art,7.28,4,0.0,1.9656,2014,6,5,747,2001,1.82,0.0
CA-2014-115812,Standard Class,BH-11710,Consumer,West,Technology,Phones,907.152,6,0.2,90.7152,2014,6,5,747,2001,151.192,181.43040000000002
CA-2014-115812,Standard Class,BH-11710,Consumer,West,Office Supplies,Binders,18.504,3,0.2,5.7825,2014,6,5,747,2001,6.168,3.7008000000000005
CA-2014-115812,Standard Class,BH-11710,Consumer,West,Office Supplies,Appliances,114.9,5,0.0,34.47,2014,6,5,747,2001,22.98,0.0
CA-2014-115812,Standard Class,BH-11710,Consumer,West,Furniture,Tables,1706.184,9,0.2,85.3092,2014,6,5,747,2001,189.576,341.2368
CA-2014-115812,Standard Class,BH-11710,Consumer,West,Technology,Phones,911.424,4,0.2,68.3568,2014,6,5,747,2001,227.856,182.28480000000002
CA-2017-114412,Standard Class,AA-10480,Consumer,South,Office Supplies,Paper,15.552,3,0.2,5.4432,2017,4,5,31,249,5.184,3.1104000000000003
CA-2016-161389,Standard Class,IM-15070,Consumer,West,Office Supplies,Binders,407.976,3,0.2,132.5922,2016,12,5,428,506,135.992,81.5952
US-2015-118983,Standard Class,HP-14815,Home Office,Central,Office Supplies,Appliances,68.81,5,0.8,-123.858,2015,11,4,27,985,13.762,55.048
US-2015-118983,Standard Class,HP-14815,Home Office,Central,Office Supplies,Binders,2.544,3,0.8,-3.816,2015,11,4,27,985,0.848,2.0352
CA-2014-105893,Standard Class,PK-19075,Consumer,Central,Office Supplies,Storage,665.88,6,0.0,13.3176,2014,11,7,10,110,110.98,0.0
CA-2014-167164,Second Class,AG-10270,Consumer,West,Office Supplies,Storage,55.5,2,0.0,9.99,2014,5,2,5,53,27.75,0.0
CA-2014-143336,Second Class,ZD-21925,Consumer,West,Office Supplies,Art,8.56,2,0.0,2.4824,2014,8,5,510,2001,4.28,0.0
CA-2014-143336,Second Class,ZD-21925,Consumer,West,Technology,Phones,213.48,3,0.2,16.011,2014,8,5,510,2001,71.16,42.696
CA-2014-143336,Second Class,ZD-21925,Consumer,West,Office Supplies,Binders,22.72,4,0.2,7.384,2014,8,5,510,2001,5.68,4.544
CA-2016-137330,Standard Class,KB-16585,Corporate,Central,Office Supplies,Art,19.46,7,0.0,5.0596,2016,12,4,8,38,2.7800000000000002,0.0
CA-2016-137330,Standard Class,KB-16585,Corporate,Central,Office Supplies,Appliances,60.34,7,0.0,15.6884,2016,12,4,8,38,8.620000000000001,0.0
US-2017-156909,Second Class,SF-20065,Consumer,East,Furniture,Chairs,71.372,2,0.3,-1.0196,2017,7,2,537,587,35.686,21.4116
CA-2015-106320,Standard Class,EB-13870,Consumer,West,Furniture,Tables,1044.63,3,0.0,240.2649,2015,9,5,9,53,348.21000000000004,0.0
CA-2016-121755,Second Class,EH-13945,Consumer,West,Office Supplies,Binders,11.648,2,0.2,4.2224,2016,1,4,747,2001,5.824,2.3296
CA-2016-121755,Second Class,EH-13945,Consumer,West,Technology,Accessories,90.57,3,0.0,11.7741,2016,1,4,747,2001,30.189999999999998,0.0
US-2015-150630,Standard Class,TB-21520,Consumer,East,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,2015,9,4,537,587,440.48999999999995,1541.715
US-2015-150630,Standard Class,TB-21520,Consumer,East,Office Supplies,Binders,9.618,2,0.7,-7.0532,2015,9,4,537,587,4.809,6.7326
US-2015-150630,Standard Class,TB-21520,Consumer,East,Furniture,Furnishings,124.2,3,0.2,15.525,2015,9,4,537,587,41.4,24.840000000000003
US-2015-150630,Standard Class,TB-21520,Consumer,East,Office Supplies,Envelopes,3.264,2,0.2,1.1016,2015,9,4,537,587,1.632,0.6528
US-2015-150630,Standard Class,TB-21520,Consumer,East,Office Supplies,Art,86.304,6,0.2,9.7092,2015,9,4,537,587,14.384,17.2608
US-2015-150630,Standard Class,TB-21520,Consumer,East,Office Supplies,Binders,6.858,6,0.7,-5.715,2015,9,4,537,587,1.143,4.800599999999999
US-2015-150630,Standard Class,TB-21520,Consumer,East,Office Supplies,Art,15.76,2,0.2,3.546,2015,9,4,537,587,7.88,3.152
CA-2017-107727,Second Class,MA-17560,Home Office,Central,Office Supplies,Paper,29.472,3,0.2,9.9468,2017,10,4,377,985,9.824,5.894400000000001
CA-2016-117590,First Class,GH-14485,Corporate,Central,Technology,Phones,1097.544,7,0.2,123.4737,2016,12,2,2,985,156.792,219.50880000000004
CA-2016-117590,First Class,GH-14485,Corporate,Central,Furniture,Furnishings,190.92,5,0.6,-147.963,2016,12,2,2,985,38.184,114.55199999999999
CA-2015-117415,Standard Class,SN-20710,Home Office,Central,Office Supplies,Envelopes,113.328,9,0.2,35.415,2015,12,4,377,985,12.592,22.6656
CA-2015-117415,Standard Class,SN-20710,Home Office,Central,Furniture,Bookcases,532.3992,3,0.32,-46.9764,2015,12,4,377,985,177.4664,170.367744
CA-2015-117415,Standard Class,SN-20710,Home Office,Central,Furniture,Chairs,212.058,3,0.3,-15.147,2015,12,4,377,985,70.68599999999999,63.617399999999996
CA-2015-117415,Standard Class,SN-20710,Home Office,Central,Technology,Phones,371.168,4,0.2,41.7564,2015,12,4,377,985,92.792,74.23360000000001
CA-2017-120999,Standard Class,LC-16930,Corporate,Central,Technology,Phones,147.168,4,0.2,16.5564,2017,9,5,8,492,36.792,29.433600000000002
CA-2016-101343,Standard Class,RA-19885,Corporate,West,Office Supplies,Storage,77.88,2,0.0,3.894,2016,7,5,747,2001,38.94,0.0
CA-2017-139619,Standard Class,ES-14080,Corporate,South,Office Supplies,Storage,95.616,2,0.2,9.5616,2017,9,4,1,383,47.808,19.1232
CA-2016-118255,First Class,ON-18715,Corporate,Central,Technology,Accessories,45.98,2,0.0,19.7714,2016,3,2,8,89,22.99,0.0
CA-2016-118255,First Class,ON-18715,Corporate,Central,Office Supplies,Binders,17.46,2,0.0,8.2062,2016,3,2,8,89,8.73,0.0
CA-2014-146703,Second Class,PO-18865,Consumer,Central,Office Supplies,Storage,211.96,4,0.0,8.4784,2014,10,5,13,255,52.99,0.0
CA-2016-169194,Standard Class,LH-16900,Consumer,East,Technology,Accessories,45.0,3,0.0,4.95,2016,6,5,19,96,15.0,0.0
CA-2016-169194,Standard Class,LH-16900,Consumer,East,Technology,Phones,21.8,2,0.0,6.104,2016,6,5,19,96,10.9,0.0
CA-2015-115742,Standard Class,DP-13000,Consumer,Central,Office Supplies,Binders,38.22,6,0.0,17.9634,2015,4,4,4,149,6.37,0.0
CA-2015-115742,Standard Class,DP-13000,Consumer,Central,Office Supplies,Labels,75.18,6,0.0,35.3346,2015,4,4,4,149,12.530000000000001,0.0
CA-2015-115742,Standard Class,DP-13000,Consumer,Central,Furniture,Furnishings,6.16,2,0.0,2.9568,2015,4,4,4,149,3.08,0.0
CA-2015-115742,Standard Class,DP-13000,Consumer,Central,Furniture,Chairs,89.99,1,0.0,17.0981,2015,4,4,4,149,89.99,0.0
CA-2016-105816,Standard Class,JM-15265,Corporate,East,Office Supplies,Fasteners,15.26,7,0.0,6.2566,2016,12,6,915,1128,2.18,0.0
CA-2016-105816,Standard Class,JM-15265,Corporate,East,Technology,Phones,1029.95,5,0.0,298.6855,2016,12,6,915,1128,205.99,0.0
CA-2016-111682,First Class,TB-21055,Consumer,East,Office Supplies,Storage,208.56,6,0.0,52.14,2016,6,1,29,1128,34.76,0.0
CA-2016-111682,First Class,TB-21055,Consumer,East,Office Supplies,Paper,32.4,5,0.0,15.552,2016,6,1,29,1128,6.4799999999999995,0.0
CA-2016-111682,First Class,TB-21055,Consumer,East,Furniture,Chairs,319.41,5,0.1,7.098,2016,6,1,29,1128,63.882000000000005,31.941000000000003
CA-2016-111682,First Class,TB-21055,Consumer,East,Office Supplies,Paper,14.56,2,0.0,6.9888,2016,6,1,29,1128,7.28,0.0
CA-2016-111682,First Class,TB-21055,Consumer,East,Technology,Accessories,30.0,2,0.0,3.3,2016,6,1,29,1128,15.0,0.0
CA-2016-111682,First Class,TB-21055,Consumer,East,Office Supplies,Binders,48.48,4,0.2,16.362,2016,6,1,29,1128,12.12,9.696
CA-2016-111682,First Class,TB-21055,Consumer,East,Office Supplies,Art,1.68,1,0.0,0.84,2016,6,1,29,1128,1.68,0.0
CA-2015-135545,Standard Class,KM-16720,Consumer,West,Technology,Accessories,13.98,2,0.0,6.1512,2015,11,6,747,2001,6.99,0.0
CA-2015-135545,Standard Class,KM-16720,Consumer,West,Office Supplies,Binders,25.824,6,0.2,9.3612,2015,11,6,747,2001,4.304,5.1648000000000005
CA-2015-135545,Standard Class,KM-16720,Consumer,West,Office Supplies,Paper,146.73,3,0.0,68.9631,2015,11,6,747,2001,48.91,0.0
CA-2015-135545,Standard Class,KM-16720,Consumer,West,Furniture,Furnishings,79.76,4,0.0,22.3328,2015,11,6,747,2001,19.94,0.0
US-2015-164175,Standard Class,PS-18970,Home Office,Central,Furniture,Chairs,213.115,5,0.3,-15.2225,2015,4,5,314,492,42.623000000000005,63.9345
CA-2014-106376,Standard Class,BS-11590,Corporate,West,Office Supplies,Art,1113.024,8,0.2,111.3024,2014,12,5,15,224,139.128,222.60479999999998
CA-2014-106376,Standard Class,BS-11590,Corporate,West,Technology,Phones,167.968,4,0.2,62.988,2014,12,5,15,224,41.992,33.5936
